thorax_q1,thorax_q2,thorax_q3,thorax_q4,thorax_ax,thorax_ay,thorax_az,thorax_gx,thorax_gy,thorax_gz,thorax_mx,thorax_my,thorax_mz,thorax_barometer,thorax_linAcc_x,thorax_linAcc_y,thorax_linAcc_z,thorax_altitude,humerus_q1,humerus_q2,humerus_q3,humerus_q4,humerus_ax,humerus_ay,humerus_az,humerus_gx,humerus_gy,humerus_gz,humerus_mx,humerus_my,humerus_mz,humerus_barometer,humerus_linAcc_x,humerus_linAcc_y,humerus_linAcc_z,humerus_altitude,radius_q1,radius_q2,radius_q3,radius_q4,radius_ax,radius_ay,radius_az,radius_gx,radius_gy,radius_gz,radius_mx,radius_my,radius_mz,radius_barometer,radius_linAcc_x,radius_linAcc_y,radius_linAcc_z,radius_altitude,
0.6228027,+0.8177658,-0.5512904,-0.1653412,+0.0003980,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9262022,-0.3731849,+0.0536832,-0.0007294,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9912707,-0.0714137,-0.1108263,+0.0000480,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.6328041,+0.8176469,-0.5514703,-0.1653292,+0.0005884,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9262269,-0.3733958,+0.0517459,-0.0013292,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913144,-0.0708744,-0.1107820,-0.0002505,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.642805,+0.8176036,-0.5515336,-0.1653320,+0.0006729,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9263189,-0.3732827,+0.0509013,-0.0015178,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913574,-0.0706040,-0.1105680,-0.0004846,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.6523418,+0.8174425,-0.5517443,-0.1654242,+0.0008126,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9265135,-0.3728282,+0.0506925,-0.0014589,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914345,-0.0702221,-0.1101171,-0.0008405,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.6633615,+0.8173761,-0.5518280,-0.1654736,+0.0008507,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9265353,-0.3726919,+0.0512981,-0.0012886,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914595,-0.0700397,-0.1100058,-0.0010565,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.6733526,+0.8173184,-0.5518962,-0.1655306,+0.0009476,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9264989,-0.3725219,+0.0531626,-0.0009951,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914628,-0.0692688,-0.1104540,-0.0017903,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.6833482,+0.8172798,-0.5519413,-0.1655711,+0.0009645,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9265046,-0.3723708,+0.0541145,-0.0009444,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914081,-0.0687056,-0.1112904,-0.0020041,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.6933569,+0.8171856,-0.5520203,-0.1657722,+0.0009718,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9265896,-0.3719917,+0.0552508,-0.0011602,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9912605,-0.0677481,-0.1131696,-0.0023526,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.7033476,+0.8171356,-0.5520760,-0.1658332,+0.0009638,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9266250,-0.3719088,+0.0552086,-0.0014070,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9912150,-0.0673240,-0.1138143,-0.0025505,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.7133497,+0.8170904,-0.5521124,-0.1659349,+0.0009262,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9266688,-0.3718581,+0.0548059,-0.0016986,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9912280,-0.0670071,-0.1138844,-0.0027043,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
